id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,3151,
1,AL,Alabama,2262,41
2,AK,Alaska,2226,43
4,AZ,Arizona,2272,40
5,AR,Arkansas,3266,16
6,CA,California,4424,7
8,CO,Colorado,2599,35
9,CT,Connecticut,5341,3
10,DE,Delaware,4363,8
12,FL,Florida,2158,45
13,GA,Georgia,2244,42
15,HI,Hawaii,5431,2
16,ID,Idaho,2764,29
17,IL,Illinois,3128,21
18,IN,Indiana,2899,26
19,IA,Iowa,3196,18
20,KS,Kansas,3279,15
21,KY,Kentucky,2699,32
22,LA,Louisiana,2437,38
23,ME,Maine,3295,13
24,MD,Maryland,3711,11
25,MA,Massachusetts,4296,9
26,MI,Michigan,3052,22
27,MN,Minnesota,4758,5
28,MS,Mississippi,2642,34
29,MO,Missouri,2126,47
30,MT,Montana,2772,28
31,NE,Nebraska,2795,27
32,NV,Nevada,3018,23
33,NH,New Hampshire,2153,46
34,NJ,New Jersey,3970,10
35,NM,New Mexico,2707,31
36,NY,New York,4531,6
37,NC,North Carolina,2683,33
38,ND,North Dakota,5533,1
39,OH,Ohio,2492,37
40,OK,Oklahoma,2425,39
41,OR,Oregon,3017,24
42,PA,Pennsylvania,3179,20
44,RI,Rhode Island,3294,14
45,SC,South Carolina,2075,50
46,SD,South Dakota,2174,44
47,TN,Tennessee,2108,48
48,TX,Texas,2102,49
49,UT,Utah,2543,36
50,VT,Vermont,5244,4
51,VA,Virginia,2758,30
53,WA,Washington,3527,12
54,WV,West Virginia,3000,25
55,WI,Wisconsin,3224,17
56,WY,Wyoming,3180,19
