id,stateAbbr,stateName,taxPerGallon,taxPerGallonRank
0,US,United States,13.5,
1,AL,Alabama,18.25,4
2,AK,Alaska,12.8,5
4,AZ,Arizona,3,41
5,AR,Arkansas,6.88,19
6,CA,California,3.3,39
8,CO,Colorado,2.28,46
9,CT,Connecticut,5.4,28
10,DE,Delaware,3.75,36
11,DC,District of Columbia,5.69,(25)
12,FL,Florida,6.5,20
13,GA,Georgia,3.79,35
15,HI,Hawaii,5.98,23
16,ID,Idaho,10.94,10
17,IL,Illinois,8.55,14
18,IN,Indiana,2.68,42
19,IA,Iowa,12.52,7
20,KS,Kansas,2.5,43
21,KY,Kentucky,7.54,17
22,LA,Louisiana,2.5,43
23,ME,Maine,5.82,24
24,MD,Maryland,4.64,31
25,MA,Massachusetts,4.05,34
26,MI,Michigan,11.94,9
27,MN,Minnesota,8.67,13
28,MS,Mississippi,7.74,15
29,MO,Missouri,2,48
30,MT,Montana,9.77,12
31,NE,Nebraska,3.75,36
32,NV,Nevada,3.6,38
33,NH,New Hampshire,0,--
34,NJ,New Jersey,5.5,26
35,NM,New Mexico,6.06,22
36,NY,New York,6.44,21
37,NC,North Carolina,12.48,8
38,ND,North Dakota,4.66,30
39,OH,Ohio,9.86,11
40,OK,Oklahoma,5.56,25
41,OR,Oregon,22.74,2
42,PA,Pennsylvania,7.23,18
44,RI,Rhode Island,5.4,28
45,SC,South Carolina,5.42,27
46,SD,South Dakota,4.63,32
47,TN,Tennessee,4.46,33
48,TX,Texas,2.4,45
49,UT,Utah,12.75,6
50,VT,Vermont,7.71,16
51,VA,Virginia,19.86,3
53,WA,Washington,33.54,1
54,WV,West Virginia,2.11,47
55,WI,Wisconsin,3.25,40
56,WY,Wyoming,0,--
