id,stateAbbr,stateName,debtPerCapita,debtpercapitarank
0,US,United States,9338,
1,AL,Alabama,6546,37
2,AK,Alaska,13039,3
4,AZ,Arizona,7339,32
5,AR,Arkansas,4784,47
6,CA,California,10941,9
8,CO,Colorado,10092,12
9,CT,Connecticut,12058,4
10,DE,Delaware,9005,16
11,DC,District of Columbia,19104,(1)
12,FL,Florida,7473,31
13,GA,Georgia,5573,43
15,HI,Hawaii,10151,11
16,ID,Idaho,3645,49
17,IL,Illinois,11536,6
18,IN,Indiana,7520,30
19,IA,Iowa,5982,40
20,KS,Kansas,8925,17
21,KY,Kentucky,9479,15
22,LA,Louisiana,8435,22
23,ME,Maine,6326,39
24,MD,Maryland,8238,23
25,MA,Massachusetts,14213,2
26,MI,Michigan,7708,28
27,MN,Minnesota,8863,19
28,MS,Mississippi,4724,48
29,MO,Missouri,7541,29
30,MT,Montana,5231,45
31,NE,Nebraska,8008,24
32,NV,Nevada,9606,14
33,NH,New Hampshire,8643,21
34,NJ,New Jersey,11334,7
35,NM,New Mexico,7823,26
36,NY,New York,17584,1
37,NC,North Carolina,5233,44
38,ND,North Dakota,6438,38
39,OH,Ohio,7128,34
40,OK,Oklahoma,4899,46
41,OR,Oregon,8858,20
42,PA,Pennsylvania,10188,10
44,RI,Rhode Island,11692,5
45,SC,South Carolina,8874,18
46,SD,South Dakota,6954,35
47,TN,Tennessee,5667,42
48,TX,Texas,9989,13
49,UT,Utah,6759,36
50,VT,Vermont,7247,33
51,VA,Virginia,7919,25
53,WA,Washington,11084,8
54,WV,West Virginia,5882,41
55,WI,Wisconsin,7737,27
56,WY,Wyoming,3420,50
