id,stateAbbr,stateName,averageCellTaxRate,averageCellTaxRateRank
0,US,United States,0.0646,
1,AL,Alabama,0.0975,26
2,AK,Alaska,0.1269,13
4,AZ,Arizona,0.1198,17
5,AR,Arkansas,0.1431,8
6,CA,California,0.116,18
8,CO,Colorado,0.1078,23
9,CT,Connecticut,0.0744,40
10,DE,Delaware,0.0629,46
11,DC,District of Columbia,0.1163,(18)
12,FL,Florida,0.1466,7
13,GA,Georgia,0.0922,28
15,HI,Hawaii,0.0761,39
16,ID,Idaho,0.0217,48
17,IL,Illinois,0.1746,4
18,IN,Indiana,0.1106,21
19,IA,Iowa,0.0871,32
20,KS,Kansas,0.1353,10
21,KY,Kentucky,0.1056,25
22,LA,Louisiana,0.0729,42
23,ME,Maine,0.0735,41
24,MD,Maryland,0.1267,14
25,MA,Massachusetts,0.0893,30
26,MI,Michigan,0.0828,36
27,MN,Minnesota,0.0954,27
28,MS,Mississippi,0.0914,29
29,MO,Missouri,0.1479,5
30,MT,Montana,0.0611,47
31,NE,Nebraska,0.1853,2
32,NV,Nevada,0.0195,49
33,NH,New Hampshire,0.0822,37
34,NJ,New Jersey,0.0893,30
35,NM,New Mexico,0.1122,20
36,NY,New York,0.179,3
37,NC,North Carolina,0.0859,33
38,ND,North Dakota,0.1227,15
39,OH,Ohio,0.0842,35
40,OK,Oklahoma,0.1088,22
41,OR,Oregon,0.018,50
42,PA,Pennsylvania,0.1414,9
44,RI,Rhode Island,0.147,6
45,SC,South Carolina,0.1058,24
46,SD,South Dakota,0.1314,11
47,TN,Tennessee,0.1199,16
48,TX,Texas,0.1153,19
49,UT,Utah,0.1277,12
50,VT,Vermont,0.085,34
51,VA,Virginia,0.0661,44
53,WA,Washington,0.1869,1
54,WV,West Virginia,0.0643,45
55,WI,Wisconsin,0.0717,43
56,WY,Wyoming,0.0795,38
