id,stateAbbr,stateName,debtPerCapita,debtPerCapitaRank
0,US,United States,9326.664453,
1,AL,Alabama,6197.67198,39
2,AK,Alaska,12264.67705,4
4,AZ,Arizona,7015.590801,35
5,AR,Arkansas,5581.023664,43
6,CA,California,10754.40708,9
8,CO,Colorado,10290.28141,11
9,CT,Connecticut,13071.41135,3
10,DE,Delaware,8061.112086,24
11,DC,District of Columbia,20713.57337,1*
12,FL,Florida,7333.606544,33
13,GA,Georgia,5497.336527,44
15,HI,Hawaii,10354.69959,10
16,ID,Idaho,3831.6104,49
17,IL,Illinois,11549.96895,5
18,IN,Indiana,7678.338681,29
19,IA,Iowa,5922.06086,41
20,KS,Kansas,9730.017883,15
21,KY,Kentucky,9043.216955,17
22,LA,Louisiana,8445.03486,21
23,ME,Maine,5946.569244,40
24,MD,Maryland,8502.641432,20
25,MA,Massachusetts,13712.58777,2
26,MI,Michigan,7705.863377,28
27,MN,Minnesota,9365.762204,16
28,MS,Mississippi,4737.874762,48
29,MO,Missouri,7714.37349,27
30,MT,Montana,4987.562794,46
31,NE,Nebraska,8173.213127,22
32,NV,Nevada,9917.021148,14
33,NH,New Hampshire,8113.829167,23
34,NJ,New Jersey,11175.05333,7
35,NM,New Mexico,7442.362486,31
36,NY,New York,17484.91162,1
37,NC,North Carolina,4992.676446,45
38,ND,North Dakota,7957.384266,25
39,OH,Ohio,7382.541995,32
40,OK,Oklahoma,4835.939262,47
41,OR,Oregon,8659.760778,19
42,PA,Pennsylvania,9930.113978,13
44,RI,Rhode Island,10991.28276,8
45,SC,South Carolina,8866.531554,18
46,SD,South Dakota,6772.977242,37
47,TN,Tennessee,6784.224775,36
48,TX,Texas,10107.59386,12
49,UT,Utah,6761.426127,38
50,VT,Vermont,7309.354644,34
51,VA,Virginia,7764.970697,26
53,WA,Washington,11359.24253,6
54,WV,West Virginia,5676.765387,42
55,WI,Wisconsin,7606.968888,30
56,WY,Wyoming,3378.968345,50
