id,stateAbbr,stateName,stateSalesTaxRate,stateSalesTaxRateRank,avgLocalSalesTaxRate,combinedStateLocalSalesTaxRate,combinedStateLocalSalesTaxRateRank
1,AL,Alabama,0.04,40,0.0497,0.0897,4
2,AK,Alaska,0,46,0.0178,0.0178,46
4,AZ,Arizona,0.056,28,0.0265,0.0825,11
5,AR,Arkansas,0.065,9,0.028,0.093,3
6,CA,California,0.075,1,0.0098,0.0848,10
8,CO,Colorado,0.029,45,0.046,0.075,16
9,CT,Connecticut,0.0635,12,0,0.0635,31
10,DE,Delaware,0,46,0,0,47
11,DC,District of Columbia,0.0575,27*,0,0.0575,41*
12,FL,Florida,0.06,16,0.0066,0.0666,30
13,GA,Georgia,0.04,40,0.03,0.07,23
15,HI,Hawaii,0.04,40,0.0035,0.0435,45
16,ID,Idaho,0.06,16,0.0003,0.0603,37
17,IL,Illinois,0.0625,13,0.24,8.65,7
18,IN,Indiana,0.07,2,0,0.07,21
19,IA,Iowa,0.06,16,0.8,0.068,27
20,KS,Kansas,0.065,9,0.0211,0.0861,8
21,KY,Kentucky,0.06,16,0,0.06,38
22,LA,Louisiana,0.05,33,0.0498,0.0998,1
23,ME,Maine,0.055,29,0,0.055,42
24,MD,Maryland,0.06,16,0,0.06,38
25,MA,Massachusetts,0.0625,13,0,0.0625,35
26,MI,Michigan,0.06,16,0,0.06,38
27,MN,Minnesota,0.0688,7,0.043,0.0731,17
28,MS,Mississippi,0.07,2,0.0007,0.0707,20
29,MO,Missouri,0.0423,39,0.0364,0.0786,14
30,MT,Montana,0,46,0,0,47
31,NE,Nebraska,0.055,29,0.0137,0.0687,26
32,NV,Nevada,0.0685,8,0.0113,0.0798,13
33,NH,New Hampshire,0,46,0,0,47
34,NJ,New Jersey,0.07,2,-0.0003,0.0697,24
35,NM,New Mexico,0.0513,32,0.0242,0.0755,15
36,NY,New York,0.04,40,0.0449,0.0849,9
37,NC,North Carolina,0.0475,36,0.0215,0.069,25
38,ND,North Dakota,0.05,33,0.0178,0.0678,28
39,OH,Ohio,0.0575,27,0.0139,0.0714,19
40,OK,Oklahoma,0.045,37,0.0435,0.0885,6
41,OR,Oregon,0,46,0,0,47
42,PA,Pennsylvania,0.06,16,0.0034,0.0634,33
44,RI,Rhode Island,0.07,2,0,0.07,21
45,SC,South Carolina,0.06,16,0.0123,0.0723,18
46,SD,South Dakota,0.045,37,0.0184,0.0634,32
47,TN,Tennessee,0.07,2,0.0245,0.0945,2
48,TX,Texas,0.0625,13,0.0192,0.0817,12
49,UT,Utah,0.0595,26,0.0081,0.0676,29
50,VT,Vermont,0.06,16,0.0017,0.0617,36
51,VA,Virginia,0.053,31,0.0033,0.0563,41
53,WA,Washington,0.065,9,0.0242,0.0892,5
54,WV,West Virginia,0.06,16,0.0029,0.0629,34
55,WI,Wisconsin,0.05,33,0.0041,0.0541,44
56,WY,Wyoming,0.04,40,0.0142,0.0542,43
