id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,5073,
1,AL,Alabama,3370,50
2,AK,Alaska,4096,33
4,AZ,Arizona,3472,48
5,AR,Arkansas,4002,35
6,CA,California,6170,9
8,CO,Colorado,4881,21
9,CT,Connecticut,7638,2
10,DE,Delaware,4886,20
11,DC,District of Columbia,10717,1*
12,FL,Florida,3653,45
13,GA,Georgia,3739,42
15,HI,Hawaii,6640,5
16,ID,Idaho,3712,43
17,IL,Illinois,5764,11
18,IN,Indiana,3893,39
19,IA,Iowa,4992,17
20,KS,Kansas,4643,26
21,KY,Kentucky,3894,38
22,LA,Louisiana,4328,28
23,ME,Maine,5302,14
24,MD,Maryland,6301,7
25,MA,Massachusetts,6564,6
26,MI,Michigan,4189,30
27,MN,Minnesota,6176,8
28,MS,Mississippi,3678,44
29,MO,Missouri,3821,41
30,MT,Montana,3878,40
31,NE,Nebraska,5118,16
32,NV,Nevada,4495,27
33,NH,New Hampshire,4895,18
34,NJ,New Jersey,6978,3
35,NM,New Mexico,4117,32
36,NY,New York,9073,1
37,NC,North Carolina,3960,36
38,ND,North Dakota,6665,4
39,OH,Ohio,4682,25
40,OK,Oklahoma,3544,46
41,OR,Oregon,4731,23
42,PA,Pennsylvania,5166,15
44,RI,Rhode Island,5562,12
45,SC,South Carolina,3522,47
46,SD,South Dakota,4260,29
47,TN,Tennessee,3405,49
48,TX,Texas,4161,31
49,UT,Utah,4063,34
50,VT,Vermont,6044,10
51,VA,Virginia,4797,22
53,WA,Washington,5342,13
54,WV,West Virginia,3954,37
55,WI,Wisconsin,4891,19
56,WY,Wyoming,4698,24
