id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,1439,
1,AL,Alabama,548,50
2,AK,Alaska,1913,10
4,AZ,Arizona,1009,33
5,AR,Arkansas,659,48
6,CA,California,1365,22
8,CO,Colorado,1333,24
9,CT,Connecticut,2726,2
10,DE,Delaware,825,44
11,DC,District of Columbia,3032,-1
12,FL,Florida,1216,28
13,GA,Georgia,1011,32
15,HI,Hawaii,943,38
16,ID,Idaho,888,41
17,IL,Illinois,1982,9
18,IN,Indiana,968,36
19,IA,Iowa,1515,16
20,KS,Kansas,1425,19
21,KY,Kentucky,732,46
22,LA,Louisiana,849,42
23,ME,Maine,1907,11
24,MD,Maryland,1504,17
25,MA,Massachusetts,2069,8
26,MI,Michigan,1320,25
27,MN,Minnesota,1547,15
28,MS,Mississippi,899,40
29,MO,Missouri,977,34
30,MT,Montana,1407,20
31,NE,Nebraska,1649,13
32,NV,Nevada,972,35
33,NH,New Hampshire,2690,3
34,NJ,New Jersey,2989,1
35,NM,New Mexico,685,47
36,NY,New York,2494,4
37,NC,North Carolina,903,39
38,ND,North Dakota,1140,30
39,OH,Ohio,1215,29
40,OK,Oklahoma,595,49
41,OR,Oregon,1285,26
42,PA,Pennsylvania,1376,21
44,RI,Rhode Island,2282,6
45,SC,South Carolina,1077,31
46,SD,South Dakota,1231,27
47,TN,Tennessee,838,43
48,TX,Texas,1560,14
49,UT,Utah,952,37
50,VT,Vermont,2331,5
51,VA,Virginia,1430,18
53,WA,Washington,1350,23
54,WV,West Virginia,798,45
55,WI,Wisconsin,1843,12
56,WY,Wyoming,2173,7
