id,stateAbbr,stateName,taxPerGallon,taxPerGallonRank
0,US,United States,0.580645161,
1,AL,Alabama,1.05,3
2,AK,Alaska,1.07,2
4,AZ,Arizona,0.16,36
5,AR,Arkansas,0.3421875,19
6,CA,California,0.2,30
8,CO,Colorado,0.08,46
9,CT,Connecticut,0.232258065,27
10,DE,Delaware,0.262903226,24
11,DC,District of Columbia,0.7,6*
12,FL,Florida,0.48,11
13,GA,Georgia,1.01,4
15,HI,Hawaii,0.93,5
16,ID,Idaho,0.15,38
17,IL,Illinois,0.231,28
18,IN,Indiana,0.115,43
19,IA,Iowa,0.19,32
20,KS,Kansas,0.18,33
21,KY,Kentucky,0.850645161,6
22,LA,Louisiana,0.403225806,15
23,ME,Maine,0.35,18
24,MD,Maryland,0.53,9
25,MA,Massachusetts,0.106451613,44
26,MI,Michigan,0.203225806,29
27,MN,Minnesota,0.49483871,10
28,MS,Mississippi,0.4268,12
29,MO,Missouri,0.06,49
30,MT,Montana,0.138709677,40
31,NE,Nebraska,0.31,20
32,NV,Nevada,0.16,36
33,NH,New Hampshire,0.3,21
34,NJ,New Jersey,0.12,42
35,NM,New Mexico,0.41,14
36,NY,New York,0.14,39
37,NC,North Carolina,0.6171,8
38,ND,North Dakota,0.39,17
39,OH,Ohio,0.1792,34
40,OK,Oklahoma,0.403225806,15
41,OR,Oregon,0.083870968,45
42,PA,Pennsylvania,0.08,46
44,RI,Rhode Island,0.124229391,41
45,SC,South Carolina,0.768,7
46,SD,South Dakota,0.273870968,22
47,TN,Tennessee,1.286774194,1
48,TX,Texas,0.198,31
49,UT,Utah,0.412903226,13
50,VT,Vermont,0.265,23
51,VA,Virginia,0.256451613,26
53,WA,Washington,0.260645161,25
54,WV,West Virginia,0.177419355,35
55,WI,Wisconsin,0.064516129,48
56,WY,Wyoming,0.018927063,50
