id,stateAbbr,stateName,taxFreedomDay,taxFreedomDayRank
0,US,United States,4/24/2016,
1,AL,Alabama,4/8/2016,4
2,AK,Alaska,4/10/2016,7
4,AZ,Arizona,4/15/2016,16
5,AR,Arkansas,4/13/2016,12
6,CA,California,4/30/2016,45
8,CO,Colorado,4/24/2016,37
9,CT,Connecticut,5/21/2016,50
10,DE,Delaware,4/18/2016,24
11,DC,District of Columbia,4/26/2016,39*
12,FL,Florida,4/20/2016,29
13,GA,Georgia,4/17/2016,20
15,HI,Hawaii,4/19/2016,26
16,ID,Idaho,4/15/2016,16
17,IL,Illinois,4/29/2016,44
18,IN,Indiana,4/18/2016,24
19,IA,Iowa,4/14/2016,14
20,KS,Kansas,4/19/2016,26
21,KY,Kentucky,4/11/2016,8
22,LA,Louisiana,4/7/2016,3
23,ME,Maine,4/15/2016,16
24,MD,Maryland,5/5/2016,47
25,MA,Massachusetts,4/28/2016,42
26,MI,Michigan,4/22/2016,32
27,MN,Minnesota,4/30/2016,45
28,MS,Mississippi,4/5/2016,1
29,MO,Missouri,4/12/2016,12
30,MT,Montana,4/17/2016,20
31,NE,Nebraska,4/16/2016,19
32,NV,Nevada,4/26/2016,39
33,NH,New Hampshire,4/22/2016,32
34,NJ,New Jersey,5/12/2016,49
35,NM,New Mexico,4/9/2016,6
36,NY,New York,5/11/2016,48
37,NC,North Carolina,4/14/2016,14
38,ND,North Dakota,4/21/2016,30
39,OH,Ohio,4/19/2016,26
40,OK,Oklahoma,4/11/2016,8
41,OR,Oregon,4/24/2016,37
42,PA,Pennsylvania,4/22/2016,32
44,RI,Rhode Island,4/28/2016,42
45,SC,South Carolina,4/11/2016,8
46,SD,South Dakota,4/8/2016,4
47,TN,Tennessee,4/6/2016,2
48,TX,Texas,4/17/2016,20
49,UT,Utah,4/21/2016,30
50,VT,Vermont,4/22/2016,32
51,VA,Virginia,4/17/2016,20
53,WA,Washington,4/11/2016,8
54,WV,West Virginia,4/27/2016,40
55,WI,Wisconsin,4/27/2016,40
56,WY,Wyoming,4/23/2016,36
