id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,1034,
1,AL,Alabama,902,28
2,AK,Alaska,294,46
4,AZ,Arizona,1361,9
5,AR,Arkansas,1303,12
6,CA,California,1159,17
8,CO,Colorado,1162,16
9,CT,Connecticut,1072,20
10,DE,Delaware,0,--
11,DC,District of Columbia,1671,(4)
12,FL,Florida,1155,18
13,GA,Georgia,916,25
15,HI,Hawaii,2214,1
16,ID,Idaho,821,34
17,IL,Illinois,759,39
18,IN,Indiana,1034,22
19,IA,Iowa,913,27
20,KS,Kansas,1307,11
21,KY,Kentucky,687,42
22,LA,Louisiana,1465,5
23,ME,Maine,807,35
24,MD,Maryland,693,41
25,MA,Massachusetts,773,38
26,MI,Michigan,855,31
27,MN,Minnesota,946,24
28,MS,Mississippi,1067,21
29,MO,Missouri,880,29
30,MT,Montana,0,--
31,NE,Nebraska,1075,19
32,NV,Nevada,1425,6
33,NH,New Hampshire,0,--
34,NJ,New Jersey,949,23
35,NM,New Mexico,1403,7
36,NY,New York,1310,10
37,NC,North Carolina,795,36
38,ND,North Dakota,2024,2
39,OH,Ohio,915,26
40,OK,Oklahoma,1171,15
41,OR,Oregon,0,--
42,PA,Pennsylvania,778,37
44,RI,Rhode Island,837,32
45,SC,South Carolina,749,40
46,SD,South Dakota,1398,8
47,TN,Tennessee,1247,13
48,TX,Texas,1231,14
49,UT,Utah,873,30
50,VT,Vermont,571,45
51,VA,Virginia,593,44
53,WA,Washington,1978,3
54,WV,West Virginia,677,43
55,WI,Wisconsin,831,33
56,WY,Wyoming,1489,4
