id,stateAbbr,stateName,revenuePerCapita,revenuePerCapitaRank
0,US,United States,5403,
1,AL,Alabama,4712,39
2,AK,Alaska,16653,1
4,AZ,Arizona,4400,44
5,AR,Arkansas,5852,19
6,CA,California,5719,21
8,CO,Colorado,4388,45
9,CT,Connecticut,7074,8
10,DE,Delaware,8423,5
12,FL,Florida,3814,50
13,GA,Georgia,3842,49
15,HI,Hawaii,7684,7
16,ID,Idaho,4551,42
17,IL,Illinois,5086,35
18,IN,Indiana,5098,34
19,IA,Iowa,5994,16
20,KS,Kansas,5267,28
21,KY,Kentucky,5212,31
22,LA,Louisiana,5458,25
23,ME,Maine,6014,15
24,MD,Maryland,5859,17
25,MA,Massachusetts,6884,9
26,MI,Michigan,5489,24
27,MN,Minnesota,6393,13
28,MS,Mississippi,5854,18
29,MO,Missouri,4412,43
30,MT,Montana,5686,22
31,NE,Nebraska,5253,30
32,NV,Nevada,4086,48
33,NH,New Hampshire,4636,41
34,NJ,New Jersey,6047,14
35,NM,New Mexico,6850,10
36,NY,New York,8390,6
37,NC,North Carolina,4832,37
38,ND,North Dakota,11138,2
39,OH,Ohio,5267,28
40,OK,Oklahoma,5398,27
41,OR,Oregon,5813,20
42,PA,Pennsylvania,5457,26
44,RI,Rhode Island,6585,12
45,SC,South Carolina,4647,40
46,SD,South Dakota,4774,38
47,TN,Tennessee,4218,47
48,TX,Texas,4262,46
49,UT,Utah,5101,33
50,VT,Vermont,8986,4
51,VA,Virginia,4976,36
53,WA,Washington,5115,32
54,WV,West Virginia,6687,11
55,WI,Wisconsin,5620,23
56,WY,Wyoming,10168,3
