id,stateAbbr,stateName,exciseTax,otherTax,total,totalRank
0,US,United States,0.184,,,
1,AL,Alabama,0.18,0.0491,0.2291,37
2,AK,Alaska,0.0895,0.033,0.1225,50
4,AZ,Arizona,0.18,0.01,0.19,44
5,AR,Arkansas,0.215,0.003,0.218,40
6,CA,California,0.278,0.1033,0.3813,7
8,CO,Colorado,0.22,0,0.22,39
9,CT,Connecticut,0.25,0.1485,0.3985,6
10,DE,Delaware,0.23,0,0.23,35
11,DC,District of Columbia,0.235,0,0.235,32*
12,FL,Florida,0.04,0.328,0.368,9
13,GA,Georgia,0.263,0.0479,0.3109,20
15,HI,Hawaii,0.17,0.2739,0.4439,3
16,ID,Idaho,0.32,0.01,0.33,16
17,IL,Illinois,0.19,0.1501,0.3401,11
18,IN,Indiana,0.18,0.1559,0.3359,13
19,IA,Iowa,0.307,0,0.307,21
20,KS,Kansas,0.24,0.00025,0.24025,32
21,KY,Kentucky,0.246,0.014,0.26,31
22,LA,Louisiana,0.2,0.0001,0.2001,42
23,ME,Maine,0.3,0.0001,0.3001,23
24,MD,Maryland,0.255,0.08,0.335,15
25,MA,Massachusetts,0.24,0.0254,0.2654,30
26,MI,Michigan,0.263,0.1414,0.4044,5
27,MN,Minnesota,0.285,0.001,0.286,26
28,MS,Mississippi,0.18,0.0079,0.1879,46
29,MO,Missouri,0.17,0.003,0.173,47
30,MT,Montana,0.27,0.0075,0.2775,29
31,NE,Nebraska,0.273,0.009,0.282,27
32,NV,Nevada,0.23,0.1052,0.3352,14
33,NH,New Hampshire,0.222,0.0163,0.2383,34
34,NJ,New Jersey,0.105,0.266,0.371,8
35,NM,New Mexico,0.17,0.0188,0.1888,45
36,NY,New York,0.0805,0.3583,0.4388,4
37,NC,North Carolina,0.343,0.0025,0.3455,10
38,ND,North Dakota,0.23,0,0.23,35
39,OH,Ohio,0.28,0.0001,0.2801,28
40,OK,Oklahoma,0.16,0.01,0.17,48
41,OR,Oregon,0.3,0.0112,0.3112,19
42,PA,Pennsylvania,0,0.582,0.582,1
44,RI,Rhode Island,0.33,0.01,0.34,12
45,SC,South Carolina,0.16,0.0075,0.1675,49
46,SD,South Dakota,0.28,0.02,0.3,24
47,TN,Tennessee,0.2,0.014,0.214,41
48,TX,Texas,0.2,0,0.2,43
49,UT,Utah,0.294,0.0001,0.2941,25
50,VT,Vermont,0.121,0.1836,0.3046,22
51,VA,Virginia,0.1989,0.025,0.2239,38
53,WA,Washington,0.494,0,0.494,2
54,WV,West Virginia,0.205,0.117,0.322,18
55,WI,Wisconsin,0.309,0.02,0.329,17
56,WY,Wyoming,0.23,0.01,0.24,33
