id,stateAbbr,stateName,revenuePerCapita,revenuePerCapitaRank
0,US,United States,5768,
1,AL,Alabama,5068,37
2,AK,Alaska,10418,2
4,AZ,Arizona,4571,45
5,AR,Arkansas,6507,17
6,CA,California,6782,15
8,CO,Colorado,5285,34
9,CT,Connecticut,7418,10
10,DE,Delaware,8006,7
12,FL,Florida,3921,49
13,GA,Georgia,3868,50
15,HI,Hawaii,8252,6
16,ID,Idaho,4789,43
17,IL,Illinois,5443,31
18,IN,Indiana,5293,32
19,IA,Iowa,6504,18
20,KS,Kansas,5537,29
21,KY,Kentucky,6019,24
22,LA,Louisiana,5014,39
23,ME,Maine,6025,22
24,MD,Maryland,6460,19
25,MA,Massachusetts,7650,9
26,MI,Michigan,6019,23
27,MN,Minnesota,7372,11
28,MS,Mississippi,6181,20
29,MO,Missouri,4609,44
30,MT,Montana,6076,21
31,NE,Nebraska,5252,35
32,NV,Nevada,4521,46
33,NH,New Hampshire,4814,42
34,NJ,New Jersey,6773,16
35,NM,New Mexico,8316,5
36,NY,New York,7921,8
37,NC,North Carolina,4946,40
38,ND,North Dakota,11627,1
39,OH,Ohio,5630,28
40,OK,Oklahoma,5515,30
41,OR,Oregon,6990,13
42,PA,Pennsylvania,5837,25
44,RI,Rhode Island,6972,14
45,SC,South Carolina,5044,38
46,SD,South Dakota,4857,41
47,TN,Tennessee,4187,48
48,TX,Texas,4516,47
49,UT,Utah,5229,36
50,VT,Vermont,9598,4
51,VA,Virginia,5287,33
53,WA,Washington,5779,27
54,WV,West Virginia,7090,12
55,WI,Wisconsin,5800,26
56,WY,Wyoming,10314,3
