id,stateAbbr,stateName,incomePerCapita,incomePerCapitaRank
0,US,United States,49246,
1,AL,Alabama,38896,47
2,AK,Alaska,55646,8
4,AZ,Arizona,40415,42
5,AR,Arkansas,39722,43
6,CA,California,56374,6
8,CO,Colorado,51999,14
9,CT,Connecticut,69311,1
10,DE,Delaware,47869,21
11,DC,District of Columbia,76108,1*
12,FL,Florida,45953,27
13,GA,Georgia,42159,40
15,HI,Hawaii,50363,18
16,ID,Idaho,39470,45
17,IL,Illinois,51817,15
18,IN,Indiana,43097,34
19,IA,Iowa,46000,26
20,KS,Kansas,47228,23
21,KY,Kentucky,38926,46
22,LA,Louisiana,42298,38
23,ME,Maine,44053,31
24,MD,Maryland,58052,5
25,MA,Massachusetts,64235,2
26,MI,Michigan,44253,30
27,MN,Minnesota,52038,13
28,MS,Mississippi,35484,50
29,MO,Missouri,42926,36
30,MT,Montana,42947,35
31,NE,Nebraska,50029,19
32,NV,Nevada,43567,32
33,NH,New Hampshire,55954,7
34,NJ,New Jersey,61472,3
35,NM,New Mexico,38474,48
36,NY,New York,59563,4
37,NC,North Carolina,42244,39
38,ND,North Dakota,54627,10
39,OH,Ohio,44593,29
40,OK,Oklahoma,42692,37
41,OR,Oregon,45399,28
42,PA,Pennsylvania,50742,16
44,RI,Rhode Island,50427,17
45,SC,South Carolina,39517,44
46,SD,South Dakota,47834,22
47,TN,Tennessee,43326,33
48,TX,Texas,46274,25
49,UT,Utah,40925,41
50,VT,Vermont,49984,20
51,VA,Virginia,52957,12
53,WA,Washington,54579,11
54,WV,West Virginia,36624,49
55,WI,Wisconsin,46762,24
56,WY,Wyoming,55116,9
