id,stateAbbr,stateName,debtPerCapita,debtPerCapitaRank
0,US,United States,3566,
1,AL,Alabama,1838,41
2,AK,Alaska,8207,4
4,AZ,Arizona,2128,39
5,AR,Arkansas,1528,46
6,CA,California,4042,17
8,CO,Colorado,3161,28
9,CT,Connecticut,9244,2
10,DE,Delaware,5721,9
12,FL,Florida,1826,42
13,GA,Georgia,1325,47
15,HI,Hawaii,5933,8
16,ID,Idaho,2206,38
17,IL,Illinois,5110,11
18,IN,Indiana,3201,26
19,IA,Iowa,2040,40
20,KS,Kansas,2323,37
21,KY,Kentucky,3361,22
22,LA,Louisiana,4086,16
23,ME,Maine,4115,15
24,MD,Maryland,4415,13
25,MA,Massachusetts,10989,1
26,MI,Michigan,3179,27
27,MN,Minnesota,2899,32
28,MS,Mississippi,2373,35
29,MO,Missouri,3140,29
30,MT,Montana,3325,24
31,NE,Nebraska,1014,49
32,NV,Nevada,1240,48
33,NH,New Hampshire,6099,7
34,NJ,New Jersey,7394,5
35,NM,New Mexico,3302,25
36,NY,New York,6909,6
37,NC,North Carolina,1796,43
38,ND,North Dakota,2550,33
39,OH,Ohio,2903,31
40,OK,Oklahoma,2332,36
41,OR,Oregon,3672,21
42,PA,Pennsylvania,3718,20
44,RI,Rhode Island,8899,3
45,SC,South Carolina,3125,30
46,SD,South Dakota,3796,19
47,TN,Tennessee,924,50
48,TX,Texas,1551,45
49,UT,Utah,2488,34
50,VT,Vermont,5251,10
51,VA,Virginia,3331,23
53,WA,Washington,4474,12
54,WV,West Virginia,4320,14
55,WI,Wisconsin,3884,18
56,WY,Wyoming,1591,44
