id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,975,
1,AL,Alabama,662,37
2,AK,Alaska,0,--
4,AZ,Arizona,515,41
5,AR,Arkansas,877,26
6,CA,California,1753,4
8,CO,Colorado,1057,17
9,CT,Connecticut,2162,2
10,DE,Delaware,1112,14
12,FL,Florida,0,--
13,GA,Georgia,888,24
15,HI,Hawaii,1229,11
16,ID,Idaho,818,30
17,IL,Illinois,1247,10
18,IN,Indiana,742,33
19,IA,Iowa,1028,21
20,KS,Kansas,865,27
21,KY,Kentucky,850,28
22,LA,Louisiana,592,39
23,ME,Maine,1063,16
24,MD,Maryland,1301,9
25,MA,Massachusetts,1961,3
26,MI,Michigan,794,31
27,MN,Minnesota,1746,5
28,MS,Mississippi,557,40
29,MO,Missouri,884,25
30,MT,Montana,1039,19
31,NE,Nebraska,1128,13
32,NV,Nevada,0,--
33,NH,New Hampshire,70,42
34,NJ,New Jersey,1340,7
35,NM,New Mexico,622,38
36,NY,New York,2176,1
37,NC,North Carolina,1045,18
38,ND,North Dakota,674,36
39,OH,Ohio,726,34
40,OK,Oklahoma,764,32
41,OR,Oregon,1674,6
42,PA,Pennsylvania,845,29
44,RI,Rhode Island,1032,20
45,SC,South Carolina,709,35
46,SD,South Dakota,0,--
47,TN,Tennessee,37,43
48,TX,Texas,0,--
49,UT,Utah,981,22
50,VT,Vermont,1077,15
51,VA,Virginia,1306,8
53,WA,Washington,0,--
54,WV,West Virginia,958,23
55,WI,Wisconsin,1180,12
56,WY,Wyoming,0,--
